"hgroup","genesymbol_source","genesymbol_target"
3,"Acadm","ACADM"
5,"Acadvl","ACADVL"
6,"Acat1","ACAT1"
7,"Acvr1","ACVR1"
9,"Sgca","SGCA"
12,"Adsl","ADSL"
13,"Aga","AGA"
14,"Agt","AGT"
16,"Alad","ALAD"
17,"Alas2","ALAS2"
20,"Ampd1","AMPD1"
26,"Apoh","APOH"
27,"Fas","FAS"
28,"Ar","AR"
29,"Arg1","ARG1"
32,"Asl","ASL"
33,"Aspa","ASPA"
35,"Atp7a","ATP7A"
39,"Bckdhb","BCKDHB"
41,"Brca2","BRCA2"
44,"Serping1","SERPING1"
45,"C2","C2"
47,"C6","C6"
48,"C8b","C8B"
52,"Capn3","CAPN3"
55,"Cd3g","CD3G"
56,"Cd40lg","CD40LG"
59,"Chrna1","CHRNA1"
60,"Chrne","CHRNE"
61,"Lyst","LYST"
62,"Ercc8","ERCC8"
63,"Clcn1","CLCN1"
65,"Clcnka","CLCNKB"
69,"Col1a2","COL1A2"
73,"Col7a1","COL7A1"
74,"Comp","COMP"
75,"Cp","CP"
76,"Cpox","CPOX"
77,"Cpt2","CPT2"
78,"Cst3","CST3"
79,"Cstb","CSTB"
80,"Cyba","CYBA"
83,"Ddb2","DDB2"
84,"Dld","DLD"
85,"Dpyd","DPYD"
88,"Edn3","EDN3"
89,"Ednrb","EDNRB"
91,"Emd","EMD"
92,"Eng","ENG"
93,"Epb4.2","EPB42"
94,"Ephx1","EPHX1"
95,"Epor","EPOR"
96,"Ercc3","ERCC3"
100,"Etfa","ETFA"
104,"F5","F5"
106,"F9","F9"
107,"Fabp2","FABP2"
108,"Fanca","FANCA"
109,"Fancc","FANCC"
110,"Fah","FAH"
112,"Ms4a2","MS4A2"
113,"Fech","FECH"
115,"Fh1","FH"
117,"Fshr","FSHR"
119,"Fuca2","FUCA2"
120,"Fut1","FUT1"
124,"Galc","GALC"
125,"Galk1","GALK1"
126,"Galt","GALT"
129,"Gbe1","GBE1"
130,"Gcdh","GCDH"
131,"Gcgr","GCGR"
132,"Gch1","GCH1"
134,"Ghr","GHR"
136,"Gja1","GJA1"
137,"Gjb1","GJB1"
139,"Gli3","GLI3"
141,"Gldc","GLDC"
142,"Glra3","GLRA3"
143,"Gp1ba","GP1BA"
144,"Gp9","GP9"
145,"Gpi1","GPI"
147,"Gsn","GSN"
148,"Gss","GSS"
149,"Msh6","MSH6"
152,"Hadha","HADHA"
153,"Hadhb","HADHB"
156,"Hgd","HGD"
158,"Hmbs","HMBS"
159,"Hmgcl","HMGCL"
160,"Tbx5","TBX5"
163,"Hps1","HPS1"
167,"Sgsh","SGSH"
168,"Icam1","ICAM1"
169,"Ids","IDS"
170,"Idua","IDUA"
171,"Cfi","CFI"
172,"Il2rg","IL2RG"
173,"Ins2","INS"
175,"Pdx1","PDX1"
179,"Itgb4","ITGB4"
180,"Jag1","JAG1"
181,"Jak3","JAK3"
183,"Kcna1","KCNA1"
185,"Kcne1","LOC102723475"
187,"Kit","KIT"
188,"Krt12","KRT12"
191,"Lamb3","LAMB3"
193,"Lep","LEP"
194,"Sgcg","SGCG"
195,"Sgcb","SGCB"
197,"Lig1","LIG1"
199,"Lipc","LIPC"
200,"Lpl","LPL"
201,"Kcnh2","KCNH2"
203,"Maoa","MAOA"
206,"Met","MET"
207,"Ciita","CIITA"
208,"Mlh1","MLH1"
210,"Msh2","MSH2"
212,"Mttp","MTTP"
215,"Mybpc3","MYBPC3"
219,"Myo7a","MYO7A"
220,"Myoc","MYOC"
221,"Naga","NAGA"
222,"Naglu","NAGLU"
223,"Ptch1","PTCH1"
225,"Ndp","NDP"
226,"Nf1","NF1"
227,"Pnp2","PNP"
227,"Pnp","PNP"
228,"Npc1","NPC1"
229,"Nphp1","NPHP1"
230,"Gpr143","GPR143"
231,"Oat","OAT"
233,"Ocrl","OCRL"
234,"Pah","PAH"
236,"Pcca","PCCA"
237,"Pde6b","PDE6B"
239,"Pepd","PEPD"
240,"Pex12","PEX12"
242,"Pex7","PEX7"
246,"Phka2","PHKA2"
247,"Phkb","PHKB"
250,"Pkd1","PKD1"
253,"Pkp1","PKP1"
256,"Plod1","PLOD1"
257,"Pmm2","PMM2"
259,"Pou1f1","POU1F1"
260,"Pou3f4","POU3F4"
262,"Ppox","PPOX"
264,"Pros1","PROS1"
265,"Pten","PTEN"
266,"Pth","PTH"
267,"Pth1r","PTH1R"
268,"Pts","PTS"
269,"Pex2","PEX2"
270,"Pex5","PEX5"
271,"Qdpr","QDPR"
272,"Rb1","RB1"
273,"Prph2","PRPH2"
276,"Rom1","ROM1"
279,"Rs1","RS1"
281,"Atxn1","ATXN1"
283,"Scn4a","SCN4A"
285,"Sgcd","SGCD"
286,"Slc12a1","SLC12A1"
287,"Slc12a3","SLC12A3"
292,"Smn1","SMN1"
292,"Smn1","SMN2"
293,"Snca","SNCA"
294,"Sox9","SOX9"
295,"Sptb","SPTB"
297,"Star","STAR"
298,"Abca4","ABCA4"
303,"Tcn2","TCN2"
306,"Tgm1","TGM1"
307,"Th","TH"
308,"Thbd","THBD"
309,"Tnni3","TNNI3"
313,"Tpmt","TPMT"
314,"Tsc1","TSC1"
315,"Tshr","TSHR"
317,"Ttr","TTR"
319,"Umps","UMPS"
320,"Urod","UROD"
324,"Xdh","XDH"
327,"Aire","AIRE"
328,"Apob","APOB"
330,"Blmh","BLMH"
331,"Slc25a20","SLC25A20"
332,"Casr","CASR"
333,"Cdkn1a","CDKN1A"
334,"Chm","CHM"
335,"Tpp1","TPP1"
339,"Csf2rb","CSF2RB"
339,"Csf2rb2","CSF2RB"
344,"Ercc2","ERCC2"
345,"Ext2","EXT2"
347,"Gale","GALE"
349,"Gm2a","GM2A"
350,"Gnrhr","GNRHR"
352,"Gpd2","GPD2"
353,"Guca1a","GUCA1A"
358,"Hsd17b4","HSD17B4"
359,"Ifngr1","IFNGR1"
360,"Il2ra","IL2RA"
362,"Kel","KEL"
363,"Krt17","KRT17"
369,"Ltbp2","LTBP2"
371,"Pafah1b1","PAFAH1B1"
372,"Mvk","MVK"
374,"Ncf2","NCF2"
375,"Neu1","NEU1"
376,"Notch3","NOTCH3"
377,"Oxct1","OXCT1"
379,"Pcsk1","PCSK1"
380,"Pde6a","PDE6A"
384,"Plec","PLEC"
385,"Pon2","PON2"
386,"Psen2","PSEN2"
387,"Rag1","RAG1"
389,"Sele","SELE"
390,"Slc10a2","SLC10A2"
392,"Sod1","SOD1"
393,"Stk11","STK11"
394,"Suox","SUOX"
395,"Hnf4a","HNF4A"
396,"Hnf1b","HNF1B"
397,"Tek","TEK"
398,"Thpo","THPO"
400,"Bard1","BARD1"
402,"Twist1","TWIST1"
403,"Nr0b1","NR0B1"
405,"Alb","ALB"
408,"Ampd3","AMPD3"
409,"Amt","AMT"
413,"Aprt","APRT"
416,"Atrx","ATRX"
417,"Avp","AVP"
418,"C1qb","C1QB"
420,"Crybb2","CRYBB2"
425,"F12","F12"
426,"F2","F2"
428,"Fga","FGA"
429,"Fgg","FGG"
430,"Fshb","FSHB"
433,"Gdnf","GDNF"
437,"Hexb","HEXB"
441,"Kcnj11","KCNJ11"
443,"Vldlr","VLDLR"
444,"Mc2r","MC2R"
445,"Mpz","MPZ"
446,"Otc","OTC"
447,"Pccb","PCCB"
448,"Plp1","PLP1"
449,"Pms1","PMS1"
452,"Rfxap","RFXAP"
455,"Sag","SAG"
456,"Sftpb","SFTPB"
457,"Smpd1","SMPD1"
459,"Hnf1a","HNF1A"
460,"Trp53","TP53"
461,"Tpo","TPO"
462,"Tsc2","TSC2"
463,"Tshb","TSHB"
464,"Tyrp1","TYRP1"
465,"Vhl","VHL"
466,"Vwf","VWF"
467,"Crx","CRX"
468,"Gdf5","GDF5"
469,"Hba-a2","HBA2"
469,"Hba-a2","HBA1"
469,"Hba-a1","HBA2"
469,"Hba-a1","HBA1"
472,"C8a","C8A"
473,"Il5ra","IL5RA"
474,"Il6ra","IL6R"
475,"Fcgr1","FCGR1A"
477,"Fcgr4","FCGR3A"
477,"Fcgr4","FCGR3B"
478,"Il10","IL10"
479,"Cd55","CD55"
479,"Daf2","CD55"
480,"Il1a","IL1A"
481,"Il1b","IL1B"
486,"Gc","GC"
487,"Il15","IL15"
488,"Il2","IL2"
489,"C7","C7"
491,"Il4","IL4"
492,"Il9","IL9"
493,"Cd14","CD14"
495,"Tap1","TAP1"
496,"Tnf","TNF"
497,"Lta","LTA"
498,"Igfbp1","IGFBP1"
499,"Igfbp2","IGFBP2"
500,"Igfbp3","IGFBP3"
502,"Il6","IL6"
503,"Hgf","HGF"
504,"Nos3","NOS3"
505,"C8g","C8G"
508,"Cd44","CD44"
510,"Igf2","IGF2"
511,"Hpx","HPX"
513,"Cd4","CD4"
515,"Igf1","IGF1"
519,"Bdkrb2","BDKRB2"
521,"Cd79b","CD79B"
522,"Ltbp1","LTBP1"
523,"Il10rb","IL10RB"
524,"Ifnar1","IFNAR1"
525,"Ncf4","NCF4"
526,"Itgam","ITGAM"
527,"Bcl2","BCL2"
530,"Sod2","SOD2"
531,"Gsr","GSR"
532,"Vtn","VTN"
533,"Fasl","FASLG"
534,"Il13ra2","IL13RA2"
535,"Il11","IL11"
